Data_Field,Champ_de_la_donnée,Data_Value,Valeur_de_la_donnée,Value_Description,Description_de_la_valeur
Activity Type,Type d'activité,Backpacking – Multiday Trips,Randonnée pédestre – excursion de plusieurs jours,Backpacking – Multiday Trips,Randonnée pédestre – excursion de plusieurs jours
Activity Type,Type d'activité,Beach Recreation,Activitée de plage,Beach Recreation,Activitée de plage
Activity Type,Type d'activité,Boating - Coastal/Marine,Navigation - côtière/marin,Boating - Coastal/Marine,Navigation - côtière/marin
Activity Type,Type d'activité,Boating - Commercial,Navigation - Commerciale,Boating - Commercial,Navigation - Commerciale
Activity Type,Type d'activité,Boating - Motorized Pleasure Craft,Navigation de plaisance – embarcation motorisée,Boating - Motorized Pleasure Craft,Navigation de plaisance – embarcation motorisée
Activity Type,Type d'activité,Bush Party,Fête en plein air,Bush Party,Fête en plein air
Activity Type,Type d'activité,Camping - Backcountry,Camping - Arrière-pays,Camping - Backcountry,Camping - Arrière-pays
Activity Type,Type d'activité,Camping - Frontcountry,Camping - Avant pays,Camping - Frontcountry,Camping - Avant pays
Activity Type,Type d'activité,Camping - Huts and Lodges,Camping - Refuges et auberges,Camping - Huts and Lodges,Camping - Refuges et auberges
Activity Type,Type d'activité,Camping - Winter Frontcountry,Camping - Hiver Avant-pays,Camping - Winter Frontcountry,Camping - Hiver Avant-pays
Activity Type,Type d'activité,Canoeing - Coastal,Canot - Zones côtières,Canoeing - Coastal,Canot - Zones côtières
Activity Type,Type d'activité,Canoeing - Flatwater,Canot - Eaux calmes,Canoeing - Flatwater,Canot - Eaux calmes
Activity Type,Type d'activité,Canoeing - Swiftwater,Canot - Eaux vives,Canoeing - Swiftwater,Canot - Eaux vives
Activity Type,Type d'activité,Canyon exploration -Winter,Exploration de canyon - Hiver,Canyon exploration -Winter,Exploration de canyon - Hiver
Activity Type,Type d'activité,Canyoneering,Canyoning,Canyoneering,Canyoning
Activity Type,Type d'activité,Caving,Spéléologie,Caving,Spéléologie
Activity Type,Type d'activité,Climbing - Bouldering,Escalade - Bloc,Climbing - Bouldering,Escalade - Bloc
Activity Type,Type d'activité,Climbing - Mountaineering,Escalade - Alpinisme,Climbing - Mountaineering,Escalade - Alpinisme
Activity Type,Type d'activité,Climbing - Technical Rock,Escalade - Rocher technique,Climbing - Technical Rock,Escalade - Rocher technique
Activity Type,Type d'activité,Climbing - Waterfall  Ice,Escalade - Cascade de glace,Climbing - Waterfall  Ice,Escalade - Cascade de glace
Activity Type,Type d'activité,Commercial Transportation Operation,Activités de transport commercial,Commercial Transportation Operation,Activités de transport commercial
Activity Type,Type d'activité,Cycling,Cyclisme,Cycling,Cyclisme
Activity Type,Type d'activité,Cycling - Mountain Biking,Cyclisme - Vélo de montagne,Cycling - Mountain Biking,Cyclisme - Vélo de montagne
